run,beam_width,beam_length,dtype,nmax_length,greedy,steps,prompt_length,prompt_and_generated_length,comprehension_and_generation_time
1,1,3,mlx.core.bfloat16,200,True,105,66,266,21441.115667000304
1,1,4,mlx.core.bfloat16,200,True,101,66,266,21963.786959000117
1,1,5,mlx.core.bfloat16,200,True,101,66,266,23243.821624999782
1,2,2,mlx.core.bfloat16,200,True,117,66,266,23021.754208000402
1,2,3,mlx.core.bfloat16,200,True,96,66,266,20603.61049999983
1,2,4,mlx.core.bfloat16,200,True,93,66,266,21540.96012500031
1,2,5,mlx.core.bfloat16,200,True,91,66,266,22546.13854199988
1,3,2,mlx.core.bfloat16,200,True,113,66,266,22907.44258299992
1,3,3,mlx.core.bfloat16,200,True,91,66,266,20369.780250000076
1,3,4,mlx.core.bfloat16,200,True,83,66,266,20232.01008299975
1,3,5,mlx.core.bfloat16,200,True,90,66,266,23578.486124999927
1,4,2,mlx.core.bfloat16,200,True,113,66,266,23553.009041999758
1,4,3,mlx.core.bfloat16,200,True,90,66,266,20877.23654199999
1,4,4,mlx.core.bfloat16,200,True,82,66,266,24107.826874999773
1,4,5,mlx.core.bfloat16,200,True,78,66,266,24792.642291999982
1,1,2,mlx.core.float16,200,False,198,66,266,43253.88920900013
1,1,3,mlx.core.float16,200,False,112,66,266,26651.288874999864
1,1,4,mlx.core.float16,200,False,92,66,266,23465.047375000267
1,1,5,mlx.core.float16,200,False,97,66,266,26044.706749999932
1,2,2,mlx.core.float16,200,False,117,66,266,26703.580667000097
1,2,3,mlx.core.float16,200,False,99,66,266,24609.654542000044
1,2,4,mlx.core.float16,200,False,98,66,266,26458.857209000143
1,2,5,mlx.core.float16,200,False,86,66,266,24873.65325000019
1,3,2,mlx.core.float16,200,False,114,66,266,26822.40479200027
1,3,3,mlx.core.float16,200,False,88,66,266,22827.75783399984
1,3,4,mlx.core.float16,200,False,85,66,266,24006.685709000067
1,3,5,mlx.core.float16,200,False,72,66,266,22200.317207999888
1,4,2,mlx.core.float16,200,False,116,66,266,28167.56629099973
1,4,3,mlx.core.float16,200,False,88,66,266,23684.13420800016
1,4,4,mlx.core.float16,200,False,71,66,266,21873.30220800004
1,4,5,mlx.core.float16,200,False,69,66,266,22306.21870799996
1,1,2,mlx.core.bfloat16,200,False,196,66,266,43594.902874999665
1,1,3,mlx.core.bfloat16,200,False,113,66,266,27099.054791999606
1,1,4,mlx.core.bfloat16,200,False,105,66,266,26825.4970830003
1,1,5,mlx.core.bfloat16,200,False,94,66,266,25524.311749999924
1,2,2,mlx.core.bfloat16,200,False,119,66,266,27641.58174999966
1,2,3,mlx.core.bfloat16,200,False,98,66,266,24710.33858299961
1,2,4,mlx.core.bfloat16,200,False,92,66,266,24991.804958999637
1,2,5,mlx.core.bfloat16,200,False,87,66,266,25301.621792000333
1,3,2,mlx.core.bfloat16,200,False,113,66,266,26937.485165999988
1,3,3,mlx.core.bfloat16,200,False,92,66,266,24266.259208000065
1,3,4,mlx.core.bfloat16,200,False,86,66,266,24546.975457999906
1,3,5,mlx.core.bfloat16,200,False,82,66,266,25299.538875000053
1,4,2,mlx.core.bfloat16,200,False,113,66,266,27614.014750000024
1,4,3,mlx.core.bfloat16,200,False,85,66,266,24060.6537499998
1,4,4,mlx.core.bfloat16,200,False,82,66,266,27486.969416000193
1,4,5,mlx.core.bfloat16,200,False,90,66,266,31248.841999999968
